Прибор: ;Hydra-L (01); ; Интервал: ;2023-07-11 19:19:00; / ;2023-07-17 19:19:00;
Date;BME280_temp;BME280_pressure;BME280_humidity;
2023-07-15 11:33:40;26.23;743.63;44.95;
2023-07-15 11:34:40;26.23;743.67;44.93;
2023-07-15 11:35:40;26.23;743.68;44.94;
2023-07-15 11:36:40;26.23;743.65;44.93;
2023-07-15 11:37:40;26.21;743.7;44.95;
2023-07-15 11:38:40;26.23;743.69;44.91;
2023-07-15 11:39:40;26.23;743.67;44.88;
2023-07-15 11:40:40;26.23;743.7;44.88;
2023-07-15 11:41:40;26.23;743.7;44.87;
2023-07-15 11:42:40;26.23;743.69;44.85;
2023-07-15 11:43:40;26.25;743.68;44.84;
2023-07-15 11:44:40;26.25;743.69;44.83;
2023-07-15 11:45:40;26.23;743.69;44.83;
2023-07-15 11:46:40;26.19;743.67;44.9;
2023-07-15 11:47:40;26.21;743.68;44.88;
2023-07-15 11:48:40;26.2;743.69;44.91;
2023-07-15 11:49:40;26.21;743.69;44.9;
2023-07-15 11:50:40;26.21;743.69;44.93;
2023-07-15 11:51:40;26.21;743.72;44.94;
2023-07-15 11:52:40;26.23;743.72;44.94;
2023-07-15 11:53:40;26.21;743.68;45.02;
2023-07-15 11:54:40;26.23;743.7;44.97;
2023-07-15 11:55:40;26.22;743.68;44.98;
2023-07-15 11:56:40;26.25;743.71;44.94;
2023-07-15 11:57:40;26.26;743.69;44.91;
2023-07-15 11:58:40;26.25;743.73;44.92;
2023-07-15 11:59:40;26.23;743.68;44.98;
2023-07-15 12:00:40;26.22;743.69;44.99;
2023-07-15 12:01:40;26.22;743.7;45.01;
2023-07-15 12:02:40;26.22;743.68;44.99;
2023-07-15 12:03:40;26.2;743.68;45.04;
2023-07-15 12:04:40;26.23;743.71;44.99;
2023-07-15 12:05:40;26.22;743.69;45.05;
2023-07-15 12:06:40;26.23;743.7;45.04;
2023-07-15 12:07:40;26.25;743.69;45;
2023-07-15 12:08:40;26.26;743.69;44.97;
2023-07-15 12:09:40;26.25;743.71;44.98;
2023-07-15 12:10:40;26.25;743.7;44.94;
2023-07-15 12:11:40;26.23;743.68;44.94;
2023-07-15 12:12:40;26.25;743.67;44.91;
2023-07-15 12:13:40;26.24;743.68;44.92;
2023-07-15 12:14:40;26.23;743.68;44.92;
2023-07-15 12:15:40;26.24;743.7;44.92;
2023-07-15 12:16:40;26.23;743.67;44.94;
2023-07-15 12:17:40;26.22;743.7;44.97;
2023-07-15 12:18:40;26.25;743.66;44.94;
2023-07-15 12:19:40;26.24;743.69;44.93;
2023-07-15 12:20:40;26.24;743.68;44.95;
2023-07-15 12:21:40;26.26;743.66;44.9;
2023-07-15 12:22:40;26.26;743.69;44.92;
2023-07-15 12:23:40;26.24;743.7;44.97;
2023-07-15 12:24:40;26.25;743.69;44.94;
2023-07-15 12:25:40;26.24;743.72;44.98;
2023-07-15 12:26:40;26.27;743.68;44.93;
2023-07-15 12:27:40;26.28;743.71;44.94;
2023-07-15 12:28:40;26.27;743.73;44.97;
2023-07-15 12:29:40;26.28;743.71;44.95;
2023-07-15 12:30:40;26.28;743.7;44.88;
2023-07-15 12:31:40;26.3;743.69;44.79;
2023-07-15 12:32:40;26.3;743.71;44.71;
2023-07-15 12:33:40;26.28;743.72;44.65;
2023-07-15 12:34:40;26.3;743.69;44.56;
2023-07-15 12:35:40;26.31;743.66;44.52;
2023-07-15 12:36:40;26.31;743.68;44.49;
2023-07-15 12:37:40;26.3;743.66;44.49;
2023-07-15 12:38:40;26.29;743.7;44.48;
2023-07-15 12:39:40;26.29;743.64;44.48;
2023-07-15 12:40:40;26.3;743.69;44.46;
2023-07-15 12:41:41;26.3;743.61;44.45;
2023-07-15 12:42:42;26.32;743.65;44.42;
2023-07-15 12:43:40;26.31;743.65;44.37;
2023-07-15 12:44:41;26.3;743.66;44.36;
2023-07-15 12:45:41;26.28;743.73;44.42;
2023-07-15 12:46:42;26.28;743.65;44.45;
2023-07-15 12:47:43;26.29;743.65;44.45;
2023-07-15 12:48:41;26.31;743.67;44.43;
2023-07-15 12:49:40;26.31;743.66;44.41;
2023-07-15 12:50:42;26.31;743.63;44.35;
2023-07-15 12:51:40;26.32;743.63;44.27;
2023-07-15 12:52:40;26.32;743.65;44.24;
2023-07-15 12:53:40;26.32;743.62;44.2;
2023-07-15 12:54:40;26.32;743.65;44.17;
2023-07-15 12:55:40;26.32;743.66;44.15;
2023-07-15 12:56:40;26.31;743.66;44.16;
2023-07-15 12:57:40;26.31;743.73;44.16;
2023-07-15 12:58:40;26.32;743.68;44.15;
2023-07-15 12:59:40;26.33;743.65;44.12;
2023-07-15 13:00:40;26.32;743.67;44.15;
2023-07-15 13:01:40;26.34;743.72;44.13;
2023-07-15 13:02:40;26.34;743.72;44.13;
2023-07-15 13:03:40;26.34;743.67;44.14;
2023-07-15 13:04:40;26.34;743.7;44.12;
2023-07-15 13:05:40;26.34;743.69;44.09;
2023-07-15 13:06:40;26.34;743.63;44.02;
2023-07-15 13:07:40;26.31;743.63;44.06;
2023-07-15 13:08:40;26.33;743.65;44.04;
2023-07-15 13:09:40;26.34;743.68;44.03;
2023-07-15 13:10:40;26.32;743.69;44.13;
2023-07-15 13:11:40;26.32;743.71;44.17;
2023-07-15 13:12:40;26.33;743.65;44.17;
2023-07-15 13:13:40;26.34;743.64;44.19;
2023-07-15 13:14:40;26.35;743.6;44.17;
2023-07-15 13:15:40;26.33;743.62;44.17;
2023-07-15 13:16:40;26.34;743.63;44.12;
2023-07-15 13:17:40;26.33;743.62;44.12;
2023-07-15 13:18:40;26.33;743.63;44.13;
2023-07-15 13:19:40;26.33;743.62;44.14;
2023-07-15 13:20:40;26.32;743.63;44.17;
2023-07-15 13:21:40;26.29;743.6;44.21;
2023-07-15 13:22:41;26.31;743.64;44.21;
2023-07-15 13:23:40;26.33;743.64;44.15;
2023-07-15 13:24:40;26.35;743.64;44.1;
2023-07-15 13:25:40;26.35;743.64;44.1;
2023-07-15 13:26:40;26.36;743.64;44.08;
2023-07-15 13:27:40;26.36;743.65;44.04;
2023-07-15 13:28:40;26.36;743.68;44.02;
2023-07-15 13:29:40;26.36;743.64;44.01;
2023-07-15 13:30:40;26.38;743.63;43.96;
2023-07-15 13:31:40;26.37;743.65;43.96;
2023-07-15 13:32:40;26.35;743.65;44.01;
2023-07-15 13:33:40;26.36;743.66;43.98;
2023-07-15 13:34:40;26.37;743.62;43.97;
2023-07-15 13:35:40;26.36;743.63;44.01;
2023-07-15 13:36:40;26.36;743.68;44.04;
2023-07-15 13:37:40;26.37;743.69;44.07;
